,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Taiwan, Province of China",0.0,1.0,0.0,60.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,40.0,0.0,712.0,1.0,0.0,4.0,7.0,8.0,0.0,0.0,14.0,0.0,7.0,11.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,34.0,3.0,0.0,1.0,3.0,9.0,1.0,4.0,36.0,28.0,1.0,5.0,3.0,0.0,0.0,62.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,16.0,4.0,2.0,17.0,2.0,0.0,0.0,0.0,9.0,44.0,1.0,0.0,7.0,143.0,0.0,1.0,1.0,6.0,2.0,0.0,5.0,3.0,29.0,4.0,9.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,23.0,0.0,0.0,0.0,2.0,10.0
Madagascar,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,74.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0
Sierra Leone,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,45.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,2.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0
Niger,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,1.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
Nepal,0.0,1.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,1.0,2.0,1.0,149.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,0.0,2.0,0.0,10.0,3.0,0.0,0.0,0.0,15.0,18.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,8.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,47.0,1.0,7.0,1.0,0.0,4.0,7.0
Hungary,0.0,2.0,0.0,313.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,7.0,1.0,415.0,0.0,0.0,6.0,7.0,14.0,7.0,0.0,55.0,0.0,5.0,2.0,0.0,5.0,1.0,8.0,0.0,0.0,1.0,43.0,6.0,0.0,2.0,2.0,2.0,16.0,0.0,2.0,20.0,24.0,1.0,8.0,1.0,0.0,0.0,215.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,17.0,3.0,31.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,0.0,14.0,2.0,1.0,0.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,195.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,15.0
Puerto Rico,0.0,2.0,0.0,131.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,7.0,0.0,0.0,0.0,22.0,0.0,550.0,0.0,1.0,7.0,13.0,22.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,5.0,1.0,11.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,30.0,11.0,24.0,0.0,3.0,4.0,3.0,0.0,44.0,0.0,0.0,2.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0,9.0,2.0,1.0,20.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,15.0,4.0,3.0,0.0,9.0,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,32.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,4.0,1.0,3.0,17.0
Malaysia,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,2.0,3.0,9.0,0.0,625.0,13.0,0.0,7.0,5.0,55.0,0.0,1.0,11.0,0.0,12.0,0.0,0.0,5.0,0.0,12.0,0.0,1.0,3.0,0.0,73.0,5.0,0.0,0.0,2.0,0.0,3.0,6.0,10.0,77.0,1.0,6.0,4.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,22.0,9.0,0.0,0.0,0.0,0.0,65.0,17.0,1.0,20.0,0.0,0.0,0.0,13.0,0.0,31.0,1.0,0.0,5.0,20.0,3.0,0.0,11.0,14.0,1.0,0.0,2.0,0.0,15.0,6.0,14.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,21.0,22.0,0.0,2.0,0.0,2.0,17.0
Somalia,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,3.0,0.0,107.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,99.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,24.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,50.0,1.0,0.0,0.0,0.0,32.0,2.0
Viet Nam,0.0,0.0,2.0,50.0,1.0,0.0,1.0,0.0,4.0,0.0,13.0,1.0,5.0,7.0,1.0,36.0,0.0,2041.0,0.0,0.0,12.0,13.0,39.0,5.0,0.0,39.0,0.0,17.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,1.0,11.0,8.0,1.0,3.0,2.0,2.0,0.0,3.0,25.0,629.0,1.0,13.0,2.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,16.0,7.0,6.0,13.0,2.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,10.0,256.0,3.0,0.0,3.0,1.0,4.0,0.0,10.0,3.0,9.0,5.0,13.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,10.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,1.0,7.0,9.0,0.0,0.0,0.0,6.0,10.0
Ghana,0.0,0.0,2.0,49.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,2.0,2.0,13.0,1.0,6.0,0.0,228.0,0.0,0.0,1.0,1.0,4.0,1.0,9.0,75.0,0.0,7.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,18.0,0.0,24.0,3.0,0.0,2.0,2.0,0.0,0.0,4.0,29.0,10.0,1.0,11.0,5.0,9.0,0.0,17.0,0.0,0.0,2.0,0.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,3.0,123.0,5.0,55.0,3.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,2.0,3.0,23.0,0.0,5.0,1.0,1.0,0.0,6.0,2.0,3.0,12.0,3.0,0.0,4.0,9.0,0.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,10.0,0.0,23.0,6.0,0.0,0.0,4.0,47.0,7.0
"Palestine, State of",0.0,0.0,14.0,477.0,3.0,1.0,6.0,0.0,67.0,1.0,5.0,0.0,0.0,5.0,0.0,65.0,0.0,1912.0,0.0,0.0,9.0,11.0,10.0,519.0,0.0,37.0,1.0,86.0,3.0,0.0,20.0,0.0,14.0,0.0,0.0,3.0,0.0,115.0,4.0,0.0,2.0,1.0,0.0,0.0,23.0,30.0,17.0,0.0,18.0,7.0,0.0,0.0,438.0,0.0,0.0,0.0,1.0,1.0,39.0,3.0,0.0,1.0,4.0,0.0,77.0,18.0,0.0,91.0,5.0,0.0,1.0,0.0,4.0,19.0,0.0,1.0,13.0,17.0,159.0,1.0,4.0,61.0,1.0,1.0,20.0,42.0,42.0,14.0,78.0,0.0,0.0,2.0,0.0,1.0,0.0,27.0,0.0,93.0,8.0,1.0,4.0,3.0,1.0,1.0,0.0,13.0,43.0,0.0,9.0,16.0,1.0,1.0,2.0,4.0,15.0
Pakistan,0.0,0.0,1.0,11.0,4.0,0.0,1.0,0.0,4.0,1.0,7.0,2.0,2.0,156.0,0.0,12.0,0.0,512.0,1.0,0.0,9.0,1.0,98.0,5.0,0.0,37.0,6.0,18.0,1.0,0.0,1.0,1.0,15.0,1.0,0.0,3.0,0.0,23.0,19.0,1.0,2.0,4.0,0.0,0.0,12.0,38.0,32.0,0.0,9.0,7.0,0.0,1.0,46.0,1.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,0.0,1.0,0.0,6.0,27.0,0.0,52.0,5.0,0.0,1.0,1.0,2.0,4.0,3.0,1.0,5.0,8.0,606.0,2.0,5.0,18.0,2.0,0.0,10.0,7.0,10.0,10.0,18.0,0.0,1.0,2.0,0.0,2.0,3.0,7.0,0.0,14.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,45.0,22.0,2.0,4.0,0.0,3.0,14.0
Israel,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,126.0,0.0,0.0,2.0,0.0,0.0,33.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao Tome and Principe,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tunisia,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,334.0,0.0,0.0,1.0,1.0,0.0,52.0,0.0,7.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0
Colombia,0.0,0.0,1.0,24.0,0.0,11.0,48.0,0.0,3.0,36.0,6.0,19.0,2.0,12.0,1.0,16.0,0.0,1271.0,0.0,0.0,118.0,6.0,132.0,4.0,0.0,23.0,1.0,9.0,5.0,0.0,4.0,9.0,17.0,0.0,0.0,4.0,0.0,22.0,8.0,1.0,5.0,9.0,3.0,0.0,25.0,28.0,22.0,1.0,10.0,7.0,2.0,1.0,30.0,0.0,0.0,1.0,1.0,7.0,17.0,4.0,1.0,0.0,4.0,0.0,4.0,34.0,0.0,71.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,13.0,6.0,15.0,9.0,0.0,28.0,5.0,1.0,0.0,9.0,32.0,6.0,37.0,9.0,0.0,5.0,4.0,0.0,5.0,0.0,56.0,0.0,14.0,18.0,0.0,18.0,2.0,2.0,0.0,2.0,2.0,23.0,0.0,16.0,4.0,1.0,0.0,0.0,19.0,122.0
Slovakia,0.0,0.0,2.0,24.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Honduras,0.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,322.0,0.0,0.0,0.0,2.0,76.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,2.0,0.0,5.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
Yemen,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,41.0,0.0,3.0,0.0,107.0,0.0,0.0,0.0,0.0,7.0,210.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,39.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,2.0,20.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0
Switzerland,0.0,0.0,1.0,100.0,2.0,9.0,1.0,1.0,6.0,1.0,14.0,7.0,5.0,3.0,0.0,48.0,0.0,1794.0,5.0,0.0,59.0,13.0,23.0,19.0,1.0,292.0,14.0,81.0,3.0,3.0,13.0,1.0,31.0,0.0,0.0,4.0,2.0,49.0,7.0,2.0,2.0,3.0,1.0,0.0,79.0,35.0,49.0,5.0,35.0,11.0,2.0,0.0,177.0,0.0,1.0,1.0,16.0,1.0,30.0,1.0,2.0,0.0,16.0,0.0,14.0,114.0,3.0,123.0,4.0,0.0,0.0,1.0,0.0,9.0,8.0,0.0,5.0,18.0,36.0,0.0,3.0,23.0,0.0,0.0,3.0,3.0,10.0,47.0,12.0,0.0,0.0,10.0,1.0,2.0,7.0,60.0,1.0,24.0,5.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,41.0,1.0,11.0,52.0,0.0,1.0,0.0,39.0,34.0
Dominican Republic,0.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,11.0,0.0,567.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,4.0,15.0,6.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,8.0,0.0,10.0,2.0,0.0,0.0,4.0,15.0,5.0,12.0,1.0,0.0,17.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0
Macao,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Angola,0.0,0.0,1.0,5.0,0.0,1.0,2.0,9.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,267.0,0.0,0.0,19.0,6.0,11.0,1.0,3.0,37.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,15.0,13.0,9.0,0.0,18.0,2.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,3.0,78.0,4.0,15.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,8.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,6.0
Gambia,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,29.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
"Moldova, Republic of",0.0,0.0,1.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,0.0,1.0,6.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,160.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Peru,0.0,0.0,1.0,37.0,2.0,2.0,14.0,0.0,6.0,2.0,7.0,8.0,4.0,4.0,0.0,60.0,0.0,2284.0,66.0,0.0,3.0,21.0,262.0,13.0,0.0,17.0,0.0,10.0,1.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,5.0,1.0,0.0,46.0,48.0,8.0,10.0,26.0,4.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,15.0,4.0,0.0,0.0,4.0,0.0,2.0,19.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,9.0,18.0,0.0,26.0,5.0,2.0,0.0,34.0,8.0,7.0,54.0,13.0,0.0,4.0,1.0,0.0,2.0,0.0,31.0,1.0,98.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,51.0,0.0,6.0,7.0,0.0,0.0,0.0,5.0,58.0
