,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Taiwan, Province of China",0.0,1.0,0.0,289.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,63.0,0.0,1476.0,2.0,0.0,3.0,2.0,12.0,2.0,0.0,14.0,0.0,20.0,24.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,24.0,0.0,1.0,0.0,5.0,11.0,0.0,1.0,27.0,27.0,7.0,16.0,4.0,0.0,0.0,180.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,6.0,4.0,21.0,4.0,0.0,0.0,0.0,1.0,85.0,0.0,3.0,4.0,164.0,4.0,0.0,5.0,10.0,2.0,1.0,1.0,3.0,75.0,15.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,21.0,0.0,0.0,0.0,5.0,2.0
Falkland Islands (Malvinas),0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,102.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mali,0.0,1.0,1.0,26.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,4.0,0.0,208.0,1.0,0.0,1.0,6.0,3.0,13.0,11.0,63.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,8.0,1.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,8.0,0.0,2.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,15.0,0.0,2.0,7.0,0.0,0.0,0.0,10.0,13.0
Lebanon,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,4.0,4.0,0.0,466.0,0.0,0.0,2.0,5.0,0.0,247.0,0.0,11.0,0.0,81.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,125.0,39.0,2.0,7.0,0.0,0.0,0.0,9.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,22.0,9.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,18.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,34.0,3.0,0.0,0.0,6.0,5.0
"Bolivia, Plurinational State of",0.0,1.0,1.0,254.0,0.0,5.0,5.0,0.0,1.0,11.0,1.0,24.0,0.0,1.0,0.0,6.0,0.0,546.0,2.0,0.0,1.0,0.0,811.0,2.0,0.0,10.0,1.0,15.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,1.0,11.0,0.0,2.0,43.0,5.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,29.0,24.0,3.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,3.0,14.0,7.0,10.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,262.0,1.0,13.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,12.0,74.0
Libya,0.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,126.0,0.0,1.0,2.0,691.0,0.0,0.0,1.0,0.0,3.0,105.0,0.0,8.0,0.0,80.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,58.0,5.0,0.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,10.0,4.0,34.0,8.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,11.0,1.0,0.0,5.0,0.0,0.0,4.0,14.0,4.0,36.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,17.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,23.0,0.0,1.0,27.0,2.0,2.0,0.0,5.0,1.0
Burundi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
El Salvador,0.0,0.0,2.0,30.0,0.0,2.0,11.0,0.0,0.0,2.0,1.0,6.0,1.0,3.0,0.0,6.0,0.0,335.0,0.0,0.0,45.0,2.0,40.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,6.0,0.0,0.0,3.0,14.0,0.0,0.0,35.0,1.0,4.0,0.0,15.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,1.0,1.0,3.0,1.0,0.0,20.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,12.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,2.0,0.0,0.0,0.0,5.0,32.0
Sao Tome and Principe,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Nigeria,0.0,0.0,5.0,56.0,3.0,7.0,3.0,18.0,9.0,4.0,9.0,5.0,13.0,166.0,3.0,37.0,2.0,1364.0,0.0,0.0,26.0,11.0,7.0,173.0,7.0,293.0,4.0,51.0,3.0,2.0,3.0,0.0,25.0,3.0,0.0,44.0,1.0,67.0,10.0,2.0,11.0,4.0,15.0,0.0,14.0,59.0,23.0,3.0,20.0,3.0,25.0,0.0,43.0,0.0,0.0,231.0,9.0,0.0,89.0,2.0,0.0,0.0,0.0,0.0,12.0,236.0,21.0,175.0,19.0,3.0,0.0,0.0,6.0,5.0,45.0,4.0,10.0,16.0,126.0,1.0,23.0,18.0,10.0,0.0,22.0,7.0,205.0,53.0,10.0,0.0,3.0,52.0,0.0,4.0,16.0,25.0,0.0,5.0,5.0,1.0,5.0,8.0,8.0,3.0,2.0,2.0,55.0,0.0,137.0,25.0,0.0,2.0,0.0,51.0,16.0
South Africa,0.0,0.0,1.0,130.0,4.0,0.0,7.0,0.0,2.0,3.0,1.0,1.0,3.0,75.0,9.0,29.0,2.0,1007.0,0.0,0.0,8.0,3.0,6.0,3.0,0.0,75.0,0.0,32.0,1.0,0.0,0.0,1.0,72.0,4.0,0.0,2.0,1.0,28.0,12.0,0.0,6.0,0.0,1.0,0.0,5.0,13.0,4.0,0.0,3.0,0.0,1.0,0.0,59.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,59.0,8.0,211.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,13.0,12.0,17.0,5.0,1.0,11.0,5.0,2.0,0.0,12.0,1.0,78.0,26.0,5.0,1.0,4.0,3.0,0.0,4.0,3.0,8.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,85.0,0.0,23.0,10.0,1.0,2.0,0.0,9.0,12.0
Eritrea,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Lao People's Democratic Republic,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,128.0,0.0,0.0,2.0,0.0,31.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0
"Venezuela, Bolivarian Republic of",0.0,0.0,2.0,61.0,1.0,4.0,15.0,0.0,6.0,5.0,1.0,7.0,0.0,18.0,2.0,24.0,0.0,1147.0,0.0,0.0,9.0,5.0,29.0,55.0,0.0,30.0,0.0,27.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,10.0,0.0,0.0,13.0,27.0,19.0,0.0,12.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,0.0,1.0,0.0,0.0,1.0,101.0,3.0,85.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,15.0,16.0,1.0,2.0,1.0,1.0,0.0,11.0,10.0,2.0,48.0,39.0,0.0,5.0,0.0,0.0,3.0,1.0,35.0,0.0,12.0,8.0,0.0,2.0,6.0,0.0,1.0,2.0,1.0,55.0,0.0,30.0,4.0,0.0,3.0,0.0,12.0,21.0
Guinea,0.0,0.0,1.0,26.0,0.0,0.0,1.0,5.0,0.0,7.0,0.0,2.0,2.0,3.0,0.0,10.0,0.0,151.0,0.0,0.0,0.0,3.0,3.0,8.0,157.0,607.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,46.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,9.0,0.0,6.0,19.0,1.0,0.0,0.0,1.0,0.0,3.0,32.0,113.0,46.0,3.0,0.0,0.0,0.0,0.0,6.0,39.0,0.0,0.0,2.0,20.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,33.0,0.0,0.0,28.0,10.0,0.0,1.0,2.0,2.0,4.0,1.0,18.0,0.0,1.0,1.0,14.0,0.0,23.0,2.0,3.0,0.0,1.0,31.0,2.0
Malaysia,0.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,1.0,0.0,1.0,2.0,0.0,351.0,0.0,0.0,1.0,4.0,69.0,2.0,0.0,10.0,0.0,12.0,0.0,0.0,2.0,1.0,7.0,2.0,0.0,4.0,0.0,35.0,2.0,0.0,0.0,7.0,1.0,2.0,0.0,9.0,6.0,2.0,4.0,3.0,2.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,88.0,12.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,48.0,0.0,0.0,2.0,10.0,5.0,0.0,9.0,3.0,1.0,0.0,2.0,1.0,24.0,5.0,6.0,7.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,19.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,7.0,0.0,19.0,1.0,0.0,1.0,0.0,3.0,71.0
Equatorial Guinea,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,66.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,714.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,47.0,342.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,1.0,2.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,52.0,1.0,0.0,0.0,0.0,4.0,2.0
Belgium,0.0,0.0,0.0,272.0,2.0,4.0,32.0,0.0,5.0,0.0,2.0,2.0,2.0,5.0,0.0,22.0,0.0,1305.0,0.0,2.0,19.0,15.0,7.0,32.0,0.0,36.0,9.0,13.0,7.0,0.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,20.0,10.0,3.0,2.0,1.0,3.0,0.0,4.0,7.0,19.0,0.0,9.0,5.0,0.0,0.0,134.0,1.0,0.0,2.0,7.0,1.0,8.0,1.0,2.0,0.0,4.0,0.0,4.0,14.0,52.0,25.0,4.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,8.0,7.0,12.0,0.0,4.0,40.0,3.0,0.0,20.0,4.0,68.0,8.0,84.0,0.0,5.0,0.0,0.0,5.0,9.0,71.0,0.0,11.0,4.0,4.0,1.0,28.0,1.0,1.0,0.0,0.0,33.0,0.0,4.0,3.0,1.0,1.0,0.0,5.0,7.0
Denmark,0.0,0.0,0.0,176.0,0.0,6.0,3.0,0.0,10.0,0.0,3.0,3.0,12.0,5.0,0.0,15.0,0.0,532.0,0.0,0.0,11.0,2.0,2.0,6.0,0.0,22.0,0.0,22.0,1.0,0.0,2.0,2.0,35.0,0.0,0.0,0.0,0.0,9.0,8.0,11.0,1.0,1.0,1.0,0.0,0.0,5.0,10.0,0.0,12.0,9.0,0.0,0.0,65.0,0.0,0.0,0.0,16.0,0.0,1.0,2.0,2.0,0.0,6.0,0.0,8.0,1.0,1.0,28.0,8.0,9.0,6.0,0.0,5.0,3.0,0.0,1.0,8.0,13.0,9.0,0.0,0.0,75.0,1.0,0.0,2.0,5.0,13.0,9.0,18.0,1.0,0.0,6.0,2.0,5.0,1.0,21.0,0.0,18.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,4.0
Côte d'Ivoire,0.0,0.0,0.0,10.0,2.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,6.0,0.0,310.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,47.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,5.0,10.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,5.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,0.0,30.0,1.0,0.0,0.0,1.0,4.0,3.0
Réunion,0.0,0.0,0.0,47.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,101.0,0.0,0.0,0.0,1.0,31.0,1.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,9.0
Belize,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,133.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Panama,0.0,0.0,0.0,83.0,1.0,1.0,6.0,0.0,0.0,0.0,6.0,26.0,1.0,13.0,1.0,4.0,0.0,459.0,1.0,0.0,2.0,1.0,47.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,117.0,0.0,5.0,8.0,5.0,0.0,10.0,4.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,18.0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,5.0,0.0,4.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,52.0
Yemen,0.0,0.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,1.0,3.0,0.0,106.0,0.0,0.0,0.0,0.0,15.0,143.0,0.0,10.0,0.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,39.0,2.0,199.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,7.0,0.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,6.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,4.0,13.0,0.0,0.0,0.0,3.0,0.0
Bahrain,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,1.0,5.0,0.0,1.0,0.0,505.0,3.0,0.0,260.0,6.0,3.0,10.0,0.0,6.0,0.0,42.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,8.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,18.0,7.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,7.0,18.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,9.0
Jersey,0.0,0.0,0.0,22.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,16.0,0.0,415.0,0.0,2.0,15.0,4.0,2.0,0.0,0.0,47.0,0.0,17.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,9.0,0.0,1.0,7.0,1.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
Israel,0.0,0.0,0.0,34.0,0.0,2.0,5.0,0.0,21.0,1.0,3.0,1.0,15.0,35.0,0.0,21.0,0.0,1070.0,0.0,3.0,33.0,17.0,3.0,368.0,3.0,18.0,0.0,33.0,2.0,0.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,82.0,6.0,2.0,5.0,7.0,0.0,0.0,3.0,21.0,14.0,4.0,22.0,8.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,1.0,117.0,5.0,1.0,0.0,1.0,0.0,23.0,12.0,0.0,47.0,9.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,24.0,73.0,0.0,3.0,12.0,1.0,2.0,29.0,16.0,16.0,17.0,40.0,1.0,2.0,3.0,0.0,11.0,0.0,4.0,0.0,35.0,10.0,4.0,13.0,2.0,0.0,1.0,0.0,0.0,22.0,0.0,15.0,5.0,2.0,3.0,1.0,7.0,10.0
Dominica,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,53.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
