,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Cambodia,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,363.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,5.0,0.0,33.0,3.0,1.0,0.0,1.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0
Ireland,0.0,1.0,1.0,270.0,1.0,9.0,1.0,0.0,5.0,0.0,17.0,5.0,24.0,5.0,1.0,30.0,0.0,1960.0,0.0,2.0,21.0,9.0,4.0,1.0,0.0,43.0,1.0,29.0,4.0,0.0,2.0,0.0,58.0,1.0,0.0,0.0,2.0,86.0,5.0,8.0,23.0,0.0,0.0,1.0,32.0,26.0,83.0,0.0,23.0,17.0,0.0,0.0,304.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,38.0,0.0,7.0,9.0,3.0,41.0,60.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,8.0,2.0,17.0,0.0,7.0,28.0,0.0,0.0,12.0,3.0,45.0,65.0,77.0,1.0,0.0,9.0,0.0,5.0,2.0,10.0,0.0,45.0,5.0,3.0,2.0,9.0,1.0,0.0,1.0,0.0,18.0,0.0,18.0,6.0,0.0,0.0,0.0,2.0,8.0
Macao,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,254.0,0.0,0.0,3.0,4.0,28.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,17.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,8.0,0.0,13.0,3.0,1.0,0.0,15.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,5.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0
Gambia,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,43.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0
"Moldova, Republic of",0.0,0.0,1.0,19.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0
Monaco,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,122.0,0.0,0.0,5.0,2.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Bangladesh,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,27.0,0.0,7.0,0.0,445.0,2.0,0.0,2.0,2.0,295.0,0.0,0.0,11.0,0.0,6.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,10.0,0.0,3.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,11.0,3.0,6.0,32.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,89.0,5.0,8.0,0.0,0.0,1.0,10.0
Paraguay,0.0,0.0,2.0,1.0,0.0,1.0,9.0,0.0,0.0,6.0,7.0,16.0,0.0,0.0,0.0,6.0,0.0,211.0,0.0,0.0,6.0,0.0,34.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,10.0,5.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,15.0
Bulgaria,0.0,0.0,4.0,31.0,1.0,8.0,6.0,0.0,1.0,0.0,8.0,4.0,9.0,3.0,0.0,21.0,7.0,1425.0,1.0,0.0,7.0,10.0,5.0,7.0,0.0,27.0,2.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,47.0,41.0,16.0,3.0,5.0,4.0,0.0,0.0,526.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,17.0,0.0,137.0,3.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,2.0,10.0,11.0,3.0,12.0,2.0,3.0,0.0,58.0,5.0,9.0,8.0,29.0,0.0,0.0,1.0,0.0,3.0,0.0,24.0,0.0,4.0,49.0,1.0,2.0,4.0,0.0,41.0,2.0,0.0,86.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,4.0
"Venezuela, Bolivarian Republic of",0.0,0.0,1.0,3.0,0.0,6.0,10.0,0.0,0.0,7.0,24.0,3.0,0.0,3.0,0.0,15.0,0.0,1062.0,0.0,0.0,12.0,3.0,11.0,3.0,0.0,21.0,0.0,5.0,1.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,2.0,6.0,0.0,10.0,16.0,9.0,0.0,11.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,10.0,3.0,0.0,0.0,1.0,0.0,1.0,30.0,1.0,141.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,13.0,10.0,83.0,1.0,8.0,0.0,1.0,0.0,53.0,65.0,3.0,42.0,17.0,0.0,10.0,1.0,0.0,1.0,2.0,31.0,0.0,9.0,6.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,62.0,0.0,18.0,2.0,0.0,3.0,0.0,21.0,17.0
Wallis and Futuna,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,12.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0
Sri Lanka,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,591.0,0.0,0.0,1.0,1.0,62.0,3.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,7.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,2.0,18.0,6.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,9.0,1.0,2.0,0.0,1.0,2.0,2.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0
Yemen,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,1.0,2.0,0.0,91.0,0.0,0.0,0.0,0.0,7.0,90.0,0.0,8.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,27.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,23.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,9.0,0.0,2.0,0.0,3.0,4.0
"Bolivia, Plurinational State of",0.0,0.0,1.0,6.0,0.0,3.0,9.0,0.0,1.0,18.0,13.0,6.0,0.0,0.0,0.0,8.0,0.0,723.0,2.0,0.0,0.0,1.0,29.0,2.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,35.0,0.0,5.0,2.0,3.0,1.0,5.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,26.0,28.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,0.0,0.0,7.0,0.0,11.0,2.0,0.0,0.0,2.0,14.0,6.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,143.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,39.0,19.0
El Salvador,0.0,0.0,4.0,12.0,1.0,5.0,5.0,0.0,0.0,8.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,222.0,0.0,0.0,42.0,1.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,9.0,3.0,0.0,34.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,1.0,2.0,2.0,2.0,0.0,8.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,15.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,25.0
Ecuador,0.0,0.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,17.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,511.0,0.0,0.0,1.0,1.0,6.0,3.0,0.0,32.0,1.0,1.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,16.0,0.0,9.0,0.0,10.0,2.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,8.0
Benin,0.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,3.0,0.0,1.0,1.0,3.0,2.0,96.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,46.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,13.0,2.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,24.0,2.0,7.0,27.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,17.0,10.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,3.0,0.0,3.0,2.0,0.0,0.0,17.0,32.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0
Mali,0.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,6.0,1.0,2.0,0.0,193.0,1.0,0.0,1.0,3.0,4.0,22.0,0.0,69.0,0.0,6.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,21.0,0.0,2.0,72.0,5.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,13.0,0.0,17.0,1.0,0.0,0.0,0.0,10.0,13.0
Libya,0.0,0.0,1.0,7.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,460.0,0.0,1.0,1.0,1.0,0.0,56.0,0.0,7.0,0.0,77.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,63.0,4.0,4.0,1.0,0.0,1.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,13.0,4.0,21.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,84.0,1.0,1.0,0.0,3.0,3.0
Chad,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,6.0,0.0,9.0,0.0,168.0,0.0,0.0,3.0,1.0,2.0,7.0,4.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,14.0,4.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,2.0,21.0,0.0,2.0,12.0,0.0,0.0,2.0,1.0,21.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,25.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,8.0,0.0,11.0,0.0,1.0,0.0,0.0,8.0,1.0
Burundi,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Senegal,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,10.0,1.0,508.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,94.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,40.0,19.0,21.0,5.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,12.0,0.0,1.0,7.0,21.0,0.0,1.0,1.0,0.0,1.0,0.0,21.0,0.0
Dominican Republic,0.0,0.0,2.0,2.0,0.0,6.0,28.0,0.0,1.0,4.0,11.0,3.0,2.0,14.0,0.0,19.0,0.0,962.0,0.0,0.0,0.0,20.0,64.0,5.0,0.0,17.0,1.0,2.0,1.0,0.0,2.0,0.0,7.0,3.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,13.0,2.0,0.0,14.0,56.0,9.0,2.0,13.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,3.0,25.0,41.0,0.0,0.0,6.0,0.0,1.0,11.0,0.0,48.0,26.0,1.0,0.0,0.0,0.0,7.0,0.0,11.0,2.0,4.0,47.0,0.0,19.0,6.0,2.0,0.0,44.0,77.0,6.0,23.0,5.0,1.0,4.0,0.0,0.0,8.0,0.0,54.0,0.0,39.0,9.0,1.0,29.0,8.0,0.0,3.0,9.0,1.0,37.0,0.0,4.0,29.0,0.0,1.0,0.0,31.0,20.0
Sao Tome and Principe,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Denmark,0.0,0.0,0.0,132.0,0.0,2.0,2.0,0.0,6.0,0.0,10.0,0.0,5.0,13.0,11.0,15.0,0.0,646.0,0.0,0.0,6.0,4.0,10.0,8.0,0.0,69.0,2.0,15.0,3.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,15.0,7.0,0.0,6.0,1.0,0.0,1.0,6.0,9.0,14.0,0.0,9.0,8.0,0.0,0.0,85.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,9.0,7.0,1.0,51.0,2.0,2.0,0.0,0.0,7.0,1.0,0.0,1.0,14.0,18.0,8.0,0.0,1.0,25.0,0.0,0.0,0.0,1.0,4.0,17.0,18.0,1.0,0.0,4.0,0.0,7.0,0.0,30.0,0.0,15.0,8.0,0.0,0.0,6.0,1.0,1.0,1.0,14.0,11.0,0.0,13.0,2.0,0.0,2.0,0.0,10.0,2.0
Finland,0.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,11.0,0.0,410.0,2.0,0.0,10.0,19.0,0.0,4.0,0.0,7.0,8.0,11.0,1.0,0.0,3.0,0.0,53.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,1.0,3.0,2.0,0.0,3.0,12.0,11.0,0.0,40.0,5.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,15.0,13.0,2.0,1.0,4.0,6.0,2.0,0.0,2.0,0.0,12.0,13.0,16.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,47.0,1.0,1.0,1.0,0.0,8.0,0.0,1.0,9.0,0.0,2.0,0.0,1.0,3.0
